right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,label
89.50874,88.96979,42.93922,70.49053,69.99451,good
86.22576,94.35314,66.67277,51.412926,31.67355,good
88.81901,95.69593,50.245853,46.123886,35.818413,good
89.11104,101.23412,57.050194,54.725388,33.650177,good
78.92547,67.21347,53.72916,48.628838,47.331318,good
105.33333,72.2834,52.83823,50.218437,55.74701,good
106.24466,79.30093,66.58007,91.39417,84.23851,good
101.56318,71.15145,63.427803,95.48585,84.93142,good
146.92691,151.53386,26.33435,29.333578,25.377954,good
75.42579,72.971924,30.970398,47.36099,48.451088,good
124.04154,132.43013,99.951836,169.11537,118.88446,good
123.998665,132.96486,100.05991,160.84035,119.78942,good
119.529,131.4068,98.94857,164.7129,119.38737,good
120.49158,125.312256,101.98762,134.25766,120.92393,good
115.6241,127.5087,94.29421,123.715744,114.95094,good
72.82908,48.597572,89.038315,72.037415,89.32096,good
86.17396,68.77144,67.25652,74.419876,72.25408,good
80.580345,53.08729,85.0311,83.634384,89.8915,good
62.165504,40.564613,7.6699204,161.35756,157.32268,bad
17.161875,41.717373,56.556305,166.79669,175.40529,bad
83.99368,36.44513,29.42741,155.70493,159.7551,bad
11.953188,40.161556,64.04388,169.60713,175.05286,bad
44.612785,92.49202,61.205246,161.4906,161.38992,bad
49.339394,99.00265,63.409702,161.98038,158.30838,bad
57.287975,44.431786,104.479546,170.7035,149.85405,bad
40.370564,51.13346,100.11109,172.0488,160.5583,bad
51.904587,69.095,75.48183,146.99197,156.63496,bad
59.97117,101.65248,29.14075,138.4607,115.98615,bad
38.28652,38.98405,53.07344,159.8712,167.01526,bad
41.91762,49.277515,23.957895,132.7979,131.09253,bad
136.25244,100.6315,31.472786,168.27504,176.70163,bad
29.564447,23.856855,47.8405,133.19864,119.3892,bad
51.878002,22.269417,48.71261,124.25622,101.245705,bad
167.79926,142.74864,45.525726,157.7328,161.84958,bad
56.875504,54.423183,51.077785,112.49645,80.21592,bad
46.49798,58.17082,31.47783,148.22636,153.72073,bad
151.84819,156.41653,24.960426,118.40254,104.18036,bad
20.45209,38.90614,78.760414,160.69836,152.86623,bad
150.14658,163.26266,24.085125,100.14973,86.04187,bad
46.43589,75.28792,59.727535,160.07921,161.62975,bad
43.79155,27.048943,73.51992,143.17905,134.62747,bad
19.19378,10.05021,24.233885,75.13714,67.67235,bad
16.603285,39.242554,60.104595,143.1527,116.88652,bad
10.516552,39.910675,62.213593,171.02858,171.4203,bad
102.90838,79.2041,65.1485,171.57742,163.93407,bad
33.967247,46.376804,17.521942,170.27255,175.40904,bad
128.59508,101.526665,84.53151,161.18076,171.95323,bad
133.0016,112.307144,98.65993,139.19844,171.6541,bad
53.50017,56.765274,28.341352,119.08106,129.50304,bad
136.8914,118.001495,91.36667,167.55505,173.00128,bad
156.79886,174.69872,101.40671,175.08179,171.44249,bad
8.382181,48.69851,69.87047,172.73015,175.61469,bad
12.275555,17.355017,75.794945,176.25743,169.65703,bad
97.421814,98.19101,24.161314,151.94142,155.19691,bad
37.975513,10.396121,28.042376,122.80872,131.58052,bad
20.500013,55.09856,100.99328,164.86937,145.3685,bad
36.102924,33.343285,17.405104,168.5695,177.65129,bad
42.378937,69.12126,46.071545,154.87138,148.6389,bad
13.055766,34.69787,63.618675,173.0946,169.97853,bad
74.72869,70.5087,33.328785,126.99655,126.69525,bad
40.38584,15.38,74.7109,176.99983,168.61838,bad
15.454046,35.301308,61.895855,169.38707,167.75978,bad
97.26414,74.72561,69.39021,154.69499,165.59933,bad
88.81113,89.058136,18.988167,109.168945,110.38632,bad
92.46221,93.14204,23.93754,140.7638,141.8538,bad
35.622433,50.09025,58.25303,171.5757,161.3495,bad
19.382423,21.736404,68.13063,166.7686,165.46092,bad
42.165783,66.72435,9.046568,172.98103,167.27846,bad
14.823895,42.63511,58.6456,169.83733,172.08821,bad
91.755714,92.16141,34.928288,130.1574,138.78946,bad
97.62958,101.136215,66.504,158.22955,153.04022,bad
11.436936,16.121725,30.507889,140.9183,133.2793,bad
55.038696,16.95541,88.9743,158.26643,163.56552,bad
130.9162,44.001183,70.79239,160.39078,149.30392,bad
56.59022,50.64321,79.54063,172.05017,170.57004,bad
100.03896,104.55812,43.15564,98.60908,113.088524,bad
49.41257,14.595931,56.445522,177.50032,154.81796,bad
151.38747,143.47775,41.699352,135.06229,146.60187,bad
43.458263,62.817867,22.270922,122.34032,131.09909,bad
88.692505,93.71688,39.618275,130.46683,136.01024,bad
153.59932,147.18413,41.57481,127.47742,140.66959,bad
50.438595,43.70102,25.75513,150.56735,152.47874,bad
19.632423,13.678172,70.30966,172.4394,178.77043,bad
28.068392,20.938433,47.125847,155.94429,141.84161,bad
28.492731,17.631796,74.85071,171.21188,173.14767,bad
62.70159,64.98423,41.145893,148.19783,131.74635,bad
173.85945,141.69147,62.170715,146.3052,158.2021,bad
110.80613,90.60533,67.378,159.30598,161.90063,bad
101.19939,84.56508,47.90573,127.6133,122.90125,bad
70.77815,61.821564,36.52076,135.56512,138.56996,bad
11.676983,28.48877,58.530434,172.41763,171.37491,bad
50.011,52.47179,31.849167,137.5632,140.1137,bad
21.003462,20.444975,113.25264,73.90786,143.84137,bad
23.03013,64.294464,70.15224,171.91689,173.5828,bad
24.203274,72.020706,73.03246,174.6912,172.30424,bad
48.99637,93.37807,33.21226,106.59523,109.815025,bad
42.428337,48.2436,28.42911,176.60326,171.53326,bad
87.4576,114.01738,37.97152,129.35246,118.314156,bad
66.6132,126.82251,123.72921,170.18219,112.60871,bad
17.497969,27.046654,35.53816,123.72973,140.53996,bad
7.605142,35.863045,65.38144,174.321,166.86641,bad
43.859997,19.941465,82.960365,174.39377,172.8468,bad
11.529621,13.505632,30.921993,136.5429,145.46655,bad
30.80041,19.64171,75.9898,144.72787,159.85832,bad
87.89061,73.05678,66.50763,53.69319,55.635216,bad
8.170463,64.17273,37.670536,153.43024,159.18007,bad
15.531127,45.913116,70.00468,168.18416,166.41417,bad
18.043135,11.596611,62.804207,154.53154,136.1613,bad
18.041039,37.8686,75.51097,168.81767,171.37756,bad
20.027819,16.74921,33.32224,140.3132,146.5662,bad
46.35115,28.160517,82.89752,153.24988,167.41626,bad
46.559006,15.699133,72.31441,154.7113,171.0744,bad
97.419235,99.979805,35.01925,135.283,132.14427,bad
98.67605,105.2778,44.37189,132.0811,124.335175,bad
17.147888,12.1374235,27.995747,105.99251,85.675125,bad
30.722828,37.46992,39.56668,167.68614,167.65015,bad
102.0928,86.7155,39.536667,156.24335,139.20566,bad
99.00338,69.86827,36.99595,108.53386,114.818245,bad
97.49075,115.30344,74.24208,170.49658,175.90651,bad
97.6656,110.80035,69.81756,172.12689,176.39368,bad
9.09697,13.969446,40.06462,144.70476,145.96275,bad
39.756153,41.316505,61.491875,163.26447,155.97714,bad
168.17497,158.11545,46.00742,81.746086,76.168884,bad
71.02099,70.257416,31.382814,147.15256,139.57571,bad
46.49953,50.981342,26.060986,147.97188,150.06288,bad
49.6074,52.41685,25.499239,145.7841,145.39319,bad
